time,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,lctrl_pos_x,lctrl_pos_y,lctrl_pos_z,lctrl_rot_x,lctrl_rot_y,lctrl_rot_z,rctrl_pos_x,rctrl_pos_y,rctrl_pos_z,rctrl_rot_x,rctrl_rot_y,rctrl_rot_z
1.5085,0.080619,1.593666,0.242426,20.567430,285.909800,358.854000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308804,1.733377,-2.330098,326.641200,55.789210,190.537200
1.5204,0.082384,1.594694,0.239971,20.352170,285.764500,359.152900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308805,1.733366,-2.330012,326.641400,55.786880,190.537500
1.5309,0.084236,1.595754,0.237598,20.122640,285.622000,359.460600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308809,1.733351,-2.329953,326.641800,55.785450,190.537900
1.5420,0.086105,1.596779,0.235313,19.832830,285.592300,359.794600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308815,1.733340,-2.329907,326.641800,55.784030,190.536700
1.5536,0.088015,1.597754,0.233208,19.520810,285.508100,0.109916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308824,1.733330,-2.329881,326.642000,55.781300,190.536700
1.5641,0.089786,1.598641,0.231241,19.190580,285.515900,0.481626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308840,1.733321,-2.329835,326.641800,55.779720,190.537300
1.5752,0.091566,1.599468,0.229351,18.807950,285.601800,0.869430,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308850,1.733312,-2.329789,326.641300,55.778550,190.537700
1.5866,0.093314,1.600263,0.227600,18.382780,285.725100,1.204125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308854,1.733308,-2.329726,326.641400,55.777810,190.537100
1.5975,0.094996,1.600990,0.225954,17.953650,285.850200,1.498993,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308855,1.733306,-2.329655,326.641400,55.775610,190.537900
1.6086,0.096505,1.601609,0.224428,17.575950,286.026500,1.764793,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.308855,1.733309,-2.329608,326.641800,55.773420,190.537600
