time,frame_id,marker_id,pos_x,pos_y,pos_z
8,6295,9029,7251,0.000000,1.400000,0.600000
8,6295,9029,7252,0.037500,1.318000,0.600000
8,6295,9029,7253,0.075000,1.236000,0.600000
8,6372,9030,7251,0.000000,1.400000,0.600000
8,6372,9030,7252,0.037500,1.318000,0.600000
8,6372,9030,7253,0.075000,1.236000,0.600000
8,6456,9031,7251,0.000000,1.400000,0.600000
8,6456,9031,7252,0.037500,1.318000,0.600000
8,6456,9031,7253,0.075000,1.236000,0.600000
8,6581,9032,7251,0.000000,1.400000,0.600000
8,6581,9032,7252,0.037500,1.318000,0.600000
8,6581,9032,7253,0.075000,1.236000,0.600000
8,6680,9033,7251,0.000000,1.400000,0.600000
8,6680,9033,7252,0.037500,1.318000,0.600000
8,6680,9033,7253,0.075000,1.236000,0.600000
8,6806,9034,7251,0.000000,1.400000,0.600000
8,6806,9034,7252,0.037500,1.318000,0.600000
8,6806,9034,7253,0.075000,1.236000,0.600000
8,6891,9035,7251,0.000000,1.400000,0.600000
8,6891,9035,7252,0.037500,1.318000,0.600000
8,6891,9035,7253,0.075000,1.236000,0.600000
